#_failures_before_succeed,repo_url,workflow,branch,default,event,ids
2,https://github.com/1C-Company/v8-code-style/actions/runs/,.github/workflows/ci-build.yml,master,True,push,"[5051597175, 5051597175, 5051597175]"
1,https://github.com/1c-syntax/bsl-language-server/actions/runs/,.github/workflows/publish-to-sonatype.yml,develop,True,push,"[6422031572, 6422031572]"
1,https://github.com/1c-syntax/bsl-language-server/actions/runs/,.github/workflows/publish-to-sonatype.yml,develop,True,push,"[6854676215, 6854676215]"
1,https://github.com/1c-syntax/bsl-language-server/actions/runs/,.github/workflows/javadoc.yml,develop,True,push,"[6422031570, 6422031570]"
1,https://github.com/1c-syntax/bsl-language-server/actions/runs/,.github/workflows/check-package.yml,develop,True,push,"[6465421041, 6465421041]"
1,https://github.com/1c-syntax/bsl-language-server/actions/runs/,.github/workflows/gradle.yml,develop,True,push,"[6456373242, 6456373242]"
1,https://github.com/1c-syntax/bsl-language-server/actions/runs/,.github/workflows/gradle.yml,develop,True,push,"[6475178233, 6475178233]"
1,https://github.com/1c-syntax/bsl-language-server/actions/runs/,.github/workflows/gradle.yml,develop,True,push,"[7250801307, 7250801307]"
1,https://github.com/94fzb/zrlog/actions/runs/,.github/workflows/build-preview-packge.yml,master,True,push,"[6236968630, 6236968630]"
1,https://github.com/94fzb/zrlog/actions/runs/,.github/workflows/build-preview-packge.yml,master,True,push,"[7176625514, 7176625514]"
1,https://github.com/Ladysnake/Cardinal-Components-API/actions/runs/,.github/workflows/build.yml,1.20,True,pull_request,"[5044086302, 5044086302]"
1,https://github.com/NetEase/amoro/actions/runs/,.github/workflows/core-hadoop3-ci.yml,0.5.x,False,push,"[5819191809, 5819191809]"
1,https://github.com/NetEase/amoro/actions/runs/,.github/workflows/core-hadoop2-ci.yml,master,True,push,"[6107830526, 6107830526]"
1,https://github.com/NetEase/amoro/actions/runs/,.github/workflows/core-hadoop3-ci.yml,master,True,pull_request,"[6325544698, 6325544698]"
1,https://github.com/NetEase/amoro/actions/runs/,.github/workflows/core-hadoop3-ci.yml,master,True,push,"[6719055082, 6719055082]"
1,https://github.com/NetEase/amoro/actions/runs/,.github/workflows/core-hadoop3-ci.yml,master,True,push,"[6727739680, 6727739680]"
1,https://github.com/NetEase/amoro/actions/runs/,.github/workflows/core-hadoop3-ci.yml,master,True,push,"[6768854730, 6768854730]"
2,https://github.com/NetEase/amoro/actions/runs/,.github/workflows/core-hadoop3-ci.yml,partition-evalution,False,pull_request,"[7013317244, 7013317244, 7013317244]"
1,https://github.com/Sinytra/Connector/actions/runs/,.github/workflows/build.yml,dev,False,push,"[6916221928, 6916221928]"
1,https://github.com/Sinytra/Connector/actions/runs/,.github/workflows/build.yml,dev,False,push,"[7061860614, 7061860614]"
